Дата,"Мерные золотые слитки, г.","Цена обратного выкупа, сом","Цена продажи, сом",Source,Наличные_USD_Покупка,Наличные_USD_Продажа,Безналичные_USD_Покупка,Безналичные_USD_Продажа,Наличные_KZT_Покупка,Наличные_KZT_Продажа,Безналичные_KZT_Покупка,Безналичные_KZT_Продажа,Наличные_EUR_Покупка,Наличные_EUR_Продажа,Безналичные_EUR_Покупка,Безналичные_EUR_Продажа,Наличные_RUB_Покупка,Наличные_RUB_Продажа,Безналичные_RUB_Покупка,Безналичные_RUB_Продажа
2024-02-14,2.00,12 990.50,13 042.50,NBKR,,,,,,,,,,,,,,,,
2024-02-14,5.00,30 527.00,30 618.50,NBKR,,,,,,,,,,,,,,,,
2024-02-14,10.00,60 144.50,60 264.50,NBKR,,,,,,,,,,,,,,,,
2024-02-14,31.1035,184 194.50,186 957.50,NBKR,,,,,,,,,,,,,,,,
2024-02-14,100.00,581 910.00,599 367.50,NBKR,,,,,,,,,,,,,,,,
2024-02-15,31.1035,183 211.00,185 959.00,NBKR,,,,,,,,,,,,,,,,
2024-02-15,10.00,59 827.50,60 139.00,NBKR,,,,,,,,,,,,,,,,
2024-02-15,100.00,578 747.50,596 110.00,NBKR,,,,,,,,,,,,,,,,
2024-02-15,2.00,12 927.50,12 979.00,NBKR,,,,,,,,,,,,,,,,
2024-02-15,1.00,7 102.00,7 137.50,NBKR,,,,,,,,,,,,,,,,
2024-02-15,5.00,30 368.50,30 459.50,NBKR,,,,,,,,,,,,,,,,
2024-02-16,31.1035,184 905.50,187 679.00,NBKR,,,,,,,,,,,,,,,,
2024-02-16,10.00,60 373.00,60 494.00,NBKR,,,,,,,,,,,,,,,,
2024-02-16,100.00,584 196.00,601 721.50,NBKR,,,,,,,,,,,,,,,,
